rule_uid,modulo,id_original,requisitos_relacionados,status_rastreabilidade,observacao
REC-RN-010,Recorrência,RN-010,"RF-007, RF-008",mapped_v1,
REC-RN-011,Recorrência,RN-011,RF-008,mapped_v1,
REC-RN-012,Recorrência,RN-012,RF-008,mapped_v1,
REC-RN-013,Recorrência,RN-013,RF-008,mapped_v1,
REC-RN-014,Recorrência,RN-014,"RF-008, RNF-007",mapped_v1,
REC-RN-015,Recorrência,RN-015,RF-008,mapped_v1,
REC-RN-016,Recorrência,RN-016,"RF-007, RF-008",mapped_v1,
REC-RN-017,Recorrência,RN-017,"RF-008, RF-018, RNF-007",mapped_v1,
LAN-RN-001,Lançamentos Financeiros,RN-001,RF-010,mapped_v1,
LAN-RN-002,Lançamentos Financeiros,RN-002,RF-007,mapped_v1,
LAN-RN-003,Lançamentos Financeiros,RN-003,"RF-005, RF-007",mapped_v1,
LAN-RN-004,Lançamentos Financeiros,RN-004,"RF-005, RF-007",mapped_v1,
LAN-RN-005,Lançamentos Financeiros,RN-005,RF-010,mapped_v1,
LAN-RN-006,Lançamentos Financeiros,RN-006,RF-010,mapped_v1,
LAN-RN-007,Lançamentos Financeiros,RN-007,RF-010,mapped_v1,
LAN-RN-008,Lançamentos Financeiros,RN-008,RF-010,mapped_v1,
LAN-RN-009,Lançamentos Financeiros,RN-009,"RF-007, RF-010",mapped_v1,
LAN-RN-010,Lançamentos Financeiros,RN-010,RF-007,mapped_v1,
LAN-RN-011,Lançamentos Financeiros,RN-011,"RF-007, RNF-007",mapped_v1,
LAN-RN-012,Lançamentos Financeiros,RN-012,RF-007,mapped_v1,
LAN-RN-013,Lançamentos Financeiros,RN-013,"RF-005, RF-007",mapped_v1,
LAN-RN-014,Lançamentos Financeiros,RN-014,"RF-006, RF-007",mapped_v1,
LAN-RN-015,Lançamentos Financeiros,RN-015,"RF-007, RF-008",mapped_v1,
LAN-RN-016,Lançamentos Financeiros,RN-016,"RF-005, RF-007",mapped_v1,
LAN-RN-017,Lançamentos Financeiros,RN-017,RF-007,mapped_v1,
LAN-RN-018,Lançamentos Financeiros,RN-018,"RF-005, RF-007",mapped_v1,
LAN-RN-019,Lançamentos Financeiros,RN-019,"RF-005, RF-007",mapped_v1,
LAN-RN-020,Lançamentos Financeiros,RN-020,RF-008,mapped_v1,
LAN-RN-021,Lançamentos Financeiros,RN-021,"RF-005, RF-007",mapped_v1,
LAN-RN-022,Lançamentos Financeiros,RN-022,"RF-007, RF-010",mapped_v1,
LAN-RN-023,Lançamentos Financeiros,RN-023,"RF-005, RF-010",mapped_v1,
LAN-RN-024,Lançamentos Financeiros,RN-024,"RF-005, RF-010",mapped_v1,
LAN-RN-025,Lançamentos Financeiros,RN-025,"RF-005, RF-010",mapped_v1,
LAN-RN-026,Lançamentos Financeiros,RN-026,RF-005,mapped_v1,
LAN-RN-027,Lançamentos Financeiros,RN-027,RF-005,mapped_v1,
LAN-RN-028,Lançamentos Financeiros,RN-028,RF-006,mapped_v1,
LAN-RN-029,Lançamentos Financeiros,RN-029,RF-007,mapped_v1,
LAN-RN-030,Lançamentos Financeiros,RN-030,"RF-005, RF-007",mapped_v1,
LAN-RN-031,Lançamentos Financeiros,RN-031,"RF-006, RF-007",mapped_v1,
LAN-RN-032,Lançamentos Financeiros,RN-032,"RF-006, RF-007",mapped_v1,
LAN-RN-033,Lançamentos Financeiros,RN-033,"RF-005, RF-007",mapped_v1,
LAN-RN-034,Lançamentos Financeiros,RN-034,RF-006,mapped_v1,
LAN-RN-035,Lançamentos Financeiros,RN-035,"RF-006, RF-008",mapped_v1,
LAN-RN-036,Lançamentos Financeiros,RN-036,"RF-008, RNF-007",mapped_v1,
LAN-RN-037,Lançamentos Financeiros,RN-037,"RF-010, RF-018",mapped_v1,
LAN-RN-038,Lançamentos Financeiros,RN-038,RF-018,mapped_v1,
LAN-RN-039,Lançamentos Financeiros,RN-039,"RF-010, RF-018",mapped_v1,
LAN-RN-040,Lançamentos Financeiros,RN-040,"RF-010, RF-018",mapped_v1,
TRF-RN-001,Transferências,RN-001,"RF-012, RF-013",mapped_v1,
TRF-RN-002,Transferências,RN-002,RF-012,mapped_v1,
TRF-RN-003,Transferências,RN-003,RF-012,mapped_v1,
TRF-RN-004,Transferências,RN-004,"RF-005, RF-013",mapped_v1,
TRF-RN-005,Transferências,RN-005,"RF-005, RF-013",mapped_v1,
TRF-RN-006,Transferências,RN-006,"RF-005, RF-013",mapped_v1,
TRF-RN-007,Transferências,RN-007,RF-012,mapped_v1,
TRF-RN-008,Transferências,RN-008,RF-012,mapped_v1,
TRF-RN-009,Transferências,RN-009,RF-012,mapped_v1,
TRF-RN-010,Transferências,RN-010,RF-012,mapped_v1,
TRF-RN-011,Transferências,RN-011,RF-012,mapped_v1,
TRF-RN-012,Transferências,RN-012,"RF-005, RF-013",mapped_v1,
TRF-RN-013,Transferências,RN-013,RF-014,mapped_v1,
TRF-RN-014,Transferências,RN-014,"RF-012, RF-013",mapped_v1,
TRF-RN-015,Transferências,RN-015,RF-012,mapped_v1,
TRF-RN-016,Transferências,RN-016,RF-014,mapped_v1,
TRF-RN-017,Transferências,RN-017,RF-013,mapped_v1,
TRF-RN-018,Transferências,RN-018,RF-014,mapped_v1,
TRF-RN-019,Transferências,RN-019,"RF-012, RF-013",mapped_v1,
TRF-RN-020,Transferências,RN-020,RF-014,mapped_v1,
TRF-RN-021,Transferências,RN-021,RF-014,mapped_v1,
TRF-RN-022,Transferências,RN-022,"RF-011, RF-013",mapped_v1,
TRF-RN-023,Transferências,RN-023,"RF-011, RF-013",mapped_v1,
TRF-RN-024,Transferências,RN-024,"RF-013, RNF-006",mapped_v1,
ESP-RN-001,Casos Específicos de Compromissos Financeiros,RN-001,RF-015,mapped_v1,
ESP-RN-002,Casos Específicos de Compromissos Financeiros,RN-002,"RF-006, RF-007, RF-015",mapped_v1,
ESP-RN-003,Casos Específicos de Compromissos Financeiros,RN-003,RF-015,mapped_v1,
ESP-RN-004,Casos Específicos de Compromissos Financeiros,RN-004,"RF-008, RF-015",mapped_v1,
ESP-RN-005,Casos Específicos de Compromissos Financeiros,RN-005,"RF-008, RF-015",mapped_v1,
ESP-RN-006,Casos Específicos de Compromissos Financeiros,RN-006,"RF-008, RF-015",mapped_v1,
ESP-RN-007,Casos Específicos de Compromissos Financeiros,RN-007,"RF-008, RF-015",mapped_v1,
ESP-RN-008,Casos Específicos de Compromissos Financeiros,RN-008,"RF-007, RF-015",mapped_v1,
ESP-RN-009,Casos Específicos de Compromissos Financeiros,RN-009,"RF-015, RF-018",mapped_v1,
ESP-RN-010,Casos Específicos de Compromissos Financeiros,RN-010,RF-015,mapped_v1,
ESP-RN-011,Casos Específicos de Compromissos Financeiros,RN-011,"RF-005, RF-007, RF-015",mapped_v1,
ESP-RN-012,Casos Específicos de Compromissos Financeiros,RN-012,RF-015,mapped_v1,
ESP-RN-013,Casos Específicos de Compromissos Financeiros,RN-013,"RF-008, RF-015",mapped_v1,
ESP-RN-014,Casos Específicos de Compromissos Financeiros,RN-014,"RF-008, RF-015",mapped_v1,
ESP-RN-015,Casos Específicos de Compromissos Financeiros,RN-015,RF-016,mapped_v1,
ESP-RN-016,Casos Específicos de Compromissos Financeiros,RN-016,"RF-006, RF-016",mapped_v1,
ESP-RN-017,Casos Específicos de Compromissos Financeiros,RN-017,"RF-006, RF-016",mapped_v1,
ESP-RN-018,Casos Específicos de Compromissos Financeiros,RN-018,"RF-008, RF-016",mapped_v1,
ESP-RN-019,Casos Específicos de Compromissos Financeiros,RN-019,"RF-008, RF-016",mapped_v1,
ESP-RN-020,Casos Específicos de Compromissos Financeiros,RN-020,"RF-008, RF-016",mapped_v1,
ESP-RN-021,Casos Específicos de Compromissos Financeiros,RN-021,"RF-008, RF-016",mapped_v1,
ESP-RN-022,Casos Específicos de Compromissos Financeiros,RN-022,"RF-008, RF-016",mapped_v1,
ESP-RN-023,Casos Específicos de Compromissos Financeiros,RN-023,"RF-008, RF-016",mapped_v1,
ESP-RN-024,Casos Específicos de Compromissos Financeiros,RN-024,"RF-007, RF-016",mapped_v1,
DSH-RN-001,Dashboard,RN-001,"RF-017, RF-018",mapped_v1,
DSH-RN-002,Dashboard,RN-002,"RF-005, RF-017",mapped_v1,
DSH-RN-003,Dashboard,RN-003,RF-017,mapped_v1,
DSH-RN-004,Dashboard,RN-004,RF-017,mapped_v1,
DSH-RN-005,Dashboard,RN-005,RF-017,mapped_v1,
DSH-RN-006,Dashboard,RN-006,RF-017,mapped_v1,
DSH-RN-007,Dashboard,RN-007,RF-017,mapped_v1,
DSH-RN-008,Dashboard,RN-008,RF-017,mapped_v1,
DSH-RN-009,Dashboard,RN-009,"RF-006, RF-017",mapped_v1,
DSH-RN-010,Dashboard,RN-010,"RF-006, RF-017",mapped_v1,
DSH-RN-011,Dashboard,RN-011,"RF-006, RF-017",mapped_v1,
DSH-RN-012,Dashboard,RN-012,"RF-007, RF-017",mapped_v1,
DSH-RN-013,Dashboard,RN-013,"RF-008, RF-017",mapped_v1,
DSH-RN-014,Dashboard,RN-014,"RF-017, RF-018",mapped_v1,
DSH-RN-015,Dashboard,RN-015,RF-017,mapped_v1,
DSH-RN-016,Dashboard,RN-016,RF-017,mapped_v1,
DSH-RN-017,Dashboard,RN-017,"RF-006, RF-017",mapped_v1,
DSH-RN-018,Dashboard,RN-018,RF-017,mapped_v1,
DSH-RN-019,Dashboard,RN-019,RNF-020,mapped_v1,
CFG-RN-001,Configurações,RN-001,RF-019,mapped_future,RF-019 preservado para versão futura.
CFG-RN-002,Configurações,RN-002,RF-019,mapped_future,RF-019 preservado para versão futura.
CFG-RN-003,Configurações,RN-003,RF-019,mapped_future,RF-019 preservado para versão futura.
CFG-RN-004,Configurações,RN-004,RF-019,mapped_future,RF-019 preservado para versão futura.
CFG-RN-005,Configurações,RN-005,RF-019,mapped_future,RF-019 preservado para versão futura.
CFG-RN-006,Configurações,RN-006,RF-019,mapped_future,RF-019 preservado para versão futura.
CFG-RN-007,Configurações,RN-007,RF-019,mapped_future,RF-019 preservado para versão futura.
CFG-RN-008,Configurações,RN-008,RF-020,mapped_v1,
CFG-RN-009,Configurações,RN-009,RF-021,mapped_v1,
CFG-RN-010,Configurações,RN-010,RF-021,mapped_v1,
CFG-RN-011,Configurações,RN-011,RF-021,mapped_v1,
CFG-RN-012,Configurações,RN-012,RF-021,mapped_v1,
CFG-RN-013,Configurações,RN-013,RF-021,mapped_v1,
CFG-RN-014,Configurações,RN-014,"RF-021, RNF-018",mapped_v1,
REL-RN-001,Relatórios,RN-001,,no_direct_requirement,Regra de exclusão de escopo da V1; não cria funcionalidade própria.
REL-RN-002,Relatórios,RN-002,"RNF-007, RNF-020",mapped_v1,
REL-RN-003,Relatórios,RN-003,"RF-011, RF-017",mapped_v1,
REL-RN-004,Relatórios,RN-004,RNF-020,mapped_v1,
REL-RN-005,Relatórios,RN-005,RNF-020,mapped_v1,
INT-RN-001,Integrações,RN-001,,no_direct_requirement,Restrição de escopo coberta em Restrições e Dependências; não cria RF próprio.
